Operational unit,Unit code,Internal cost code,CIPFA expenses type,Transaction date,Transaction number,Net amount,Supplier name,Supplier ID
Facilities Management,FM01,Electricity,Premises,27/10/2011,3026372,3784.3,Southern Electric plc,10665
Fit for the Future,CZ02,Fees and hired services,Supplies & Services,28/10/2011,611538,1600,Alexander,11801
Parks and Open Spaces,OP01,Grounds Maintenance Contract,Third Party Payments,28/10/2011,611411,605.83,G BURLEY and SONS LTD,10901
Kidmore End Cemetery,CM02,Grounds Maintenance Contract,Third Party Payments,28/10/2011,611545,1410.51,G BURLEY and SONS LTD,10901
Wallingford Cemetery,CM03,Grounds Maintenance Contract,Third Party Payments,28/10/2011,611545,2804.05,G BURLEY and SONS LTD,10901
Parks and Open Spaces,OP01,Grounds Maintenance Contract,Third Party Payments,28/10/2011,611545,9044.56,G BURLEY and SONS LTD,10901
Pension Costs - Compens,PY02,Pensions - Compens,Employees,28/10/2011,3026419,20324.32,Oxfordshire CC,10523
Pension Costs - Compens,PY02,Superannuation - ER,Employees,28/10/2011,3026419,24583.33,Oxfordshire CC,10523
Revenue Grants L&C,GR30,Grants,Supplies & Services,28/10/2011,3026420,4800,The Chilterns Woodland Project,11349
Pest Control Service,PC01,Pest control services,Supplies & Services,28/10/2011,611548,1532,Total Pest Control UK Ltd,13703
Policy & Community Engagement,CB01,Fees and hired services,Supplies & Services,29/10/2011,611555,7544,MEL Research Ltd,10848
Didcot Arts Centre,AR04,Communications - Postages,Supplies & Services,29/10/2011,611559,546.06,Neopost Finance Ltd,10478
Housing Development & Regeneration,AH02,Redundancy & Severance payments,Employees,29/10/2011,611562,12178.32,REDACTED PERSONAL INFORMATION,14925
Didcot Arts Centre,AR04,Performers Fees and Charges,Supplies & Services,2011-01-11,611566,983.55,New Perspectives,14587
Affordable Housing (LAA),AH01,Grants,Supplies & Services,2011-01-11,611565,3250,Oxfordshire Rural Com Council,10525
Other Car Parks,CP99,Materials & consumables,Supplies & Services,2011-01-11,3026411,888,Parkeon Limited,10533
Leader,ED03,Miscellaneous-Projects,Supplies & Services,2011-01-11,611568,1200,QandA,11679
Other Car Parks,CP99,Materials & consumables,Supplies & Services,2011-02-11,611344,937.5,Bemrose Booth,10084
Garden Waste Scheme,RY03,Waste Collection Biffa Fixed All,Third Party Payments,2011-02-11,611578,62570.37,Biffa,10778
Street Cleansing,ST01,Waste Collection Biffa Fixed All,Third Party Payments,2011-02-11,611578,81900.97,Biffa,10778
Refuse Collection Contract,RC01,Waste Collection Biffa Fixed All,Third Party Payments,2011-02-11,611578,109004.05,Biffa,10778
Recycling,RY01,Waste Collection Biffa Fixed All,Third Party Payments,2011-02-11,611578,147577.64,Biffa,10778
Didcot Growth Point Team,CA02,Consultants-Projects,Supplies & Services,2011-02-11,611560,3304.3,DTZ Debenham Tie Leung Ltd,11884
Didcot Growth Point Team,CA02,Consultation costs,Supplies & Services,2011-02-11,611284,5957.27,DTZ Debenham Tie Leung Ltd,11884
Health & Safety,TR14,Staff training,Employees,2011-02-11,611577,1084,Health Response UK,14101
Flood Alleviation Schemes,A143,Repairs and maintenance to land and buildings,Premises,2011-02-11,611076,750,Monson Engineering Ltd,14359
Flood Alleviation Schemes,A143,Repairs and maintenance to land and buildings,Premises,2011-02-11,610863,1000,Monson Engineering Ltd,14359
Flood Alleviation Schemes,A143,Repairs and maintenance to land and buildings,Premises,2011-02-11,611368,1250,Monson Engineering Ltd,14359
OCELLA/ORACLE,CE30,Software support and maintenance,Supplies & Services,2011-02-11,611576,9164.82,Ocella,10502
Policy & Community Engagement,CB01,Cosultation Corparate Strategy,Supplies & Services,2011-02-11,611139,802.5,Plus Four Market Research LTD,12890
Building Control Services,BC01,Fees and charges income,Income,2011-02-11,3026436,950,Sundry Supplier,99999
Rent Deposit Scheme,HM02,Compensation to third parties,Supplies & Services,2011-02-11,3026448,975,Sundry Supplier,99999
Policy & Community Engagement,CB01,Young Persons Initiatives,Supplies & Services,2011-03-11,611506,950,Design Tank,14712
General Toilets,WC99,Contract Cleaning,Premises,2011-03-11,611596,5942.92,Healthmatic Ltd 2010,14550
Policy Team,PP01,Consultants-Projects,Supplies & Services,2011-03-11,611552,2505.8,Levett Therivel,13725
Democratic Services,DS01,Consultation costs,Supplies & Services,2011-03-11,611575,1240.5,ROBIN CARR ASSOCIATES,14092
Housing Development & Regeneration,AH02,Professional,Supplies & Services,2011-03-11,611587,750,Slade Son and Taylor,10644
Didcot Arts Centre,AR04,Performers Fees and Charges,Supplies & Services,2011-03-11,611597,1000,Upbeat Management,14058
Brown Bins Project,RY04,Agency staff,Employees,2011-04-11,3026467,655.27,Champion Recruitment,10148
Brown Bins Project,RY04,Agency staff,Employees,2011-04-11,3026466,809.24,Champion Recruitment,10148
Refuse Collection Contract,RC01,Agency staff,Employees,2011-04-11,3026476,839.8,Champion Recruitment,10148
Street Cleansing,ST01,Window Cleaning,Premises,2011-04-11,3026386,2189.86,Chinnor Parish Council,10157
Legal,LS01,Legal services,Supplies & Services,2011-04-11,611608,838.5,Darbys,10188
Street Cleansing,ST01,Window Cleaning,Premises,2011-04-11,3026385,2304.73,Goring Parish Council,10273
Legal,LS01,Books and Publications,Supplies & Services,2011-04-11,611610,738,LexisNexis,10425
Legal,LS01,Books and Publications,Supplies & Services,2011-04-11,611613,1716,LexisNexis,10425
Electoral Registration,RE01,Printing External,Supplies & Services,2011-04-11,611609,745.71,Print Image Network Ltd,14610
Street Cleansing,ST01,Window Cleaning,Premises,2011-04-11,3026383,1374.39,Sonning Common PC,10656
Street Cleansing,ST01,Window Cleaning,Premises,2011-04-11,3026382,2539.96,Watlington Parish Council,10801
Aston Rowant Parish Council,A220,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,2011-05-11,3026461,4923,Aston Rowant Church Annexe Project,14849
Electoral Registration,RE01,Agency staff,Employees,2011-05-11,3026471,915.57,Champion Recruitment,10148
Land Charges,LC01,Agency staff,Employees,2011-05-11,3026472,983.88,Champion Recruitment,10148
Legal,LS01,Agency staff,Employees,2011-05-11,3026479,5888.51,Champion Recruitment,10148
Building Control,TR03,Staff training,Employees,2011-05-11,611646,600,LABC Central,14215
Didcot Arts Centre,AR04,Performers Fees and Charges,Supplies & Services,2011-05-11,611615,600,Mr Marks Childrens Concerts,14270
Corporate Management Team,CA01,Other expenses,Supplies & Services,2011-05-11,611648,550,Studio Edmark Photography,11251
Refuse Collection Contract,RC01,Waste Collection Biffa Variable Other,Third Party Payments,2011-08-11,611649,20932.61,Biffa,10778
Mandatory disabled facilities grants,X108,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,2011-08-11,3026499,3950,CCW Construction,14233
Mandatory disabled facilities grants,X108,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,2011-08-11,3026500,4500.93,ELLIOTT AND JORDAN Ltd,10225
Office Cleaning,CC01,Materials & consumables,Supplies & Services,2011-08-11,611543,532.96,GPP Hygiene,10275
Mandatory disabled facilities grants,X108,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,2011-08-11,3026505,5230,Jaspac Developments Ltd,12574
Mandatory disabled facilities grants,X108,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,2011-08-11,3026503,544.97,Mears Home Improvement Limited,14703
Mandatory disabled facilities grants,X108,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,2011-08-11,3026502,592.5,Mears Home Improvement Limited,14703
Mandatory disabled facilities grants,X108,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,2011-08-11,3026497,675.14,Mears Home Improvement Limited,14703
Mandatory disabled facilities grants,X108,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,2011-08-11,3026498,777.6,Mears Home Improvement Limited,14703
Mandatory disabled facilities grants,X108,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,2011-08-11,3026504,1280,Mears Home Improvement Limited,14703
Didcot Arts Centre,AR04,Publicity and promotion costs,Supplies & Services,2011-08-11,3026435,-565,Originzone Limited,14858
Didcot Arts Centre,AR04,Publicity and promotion costs,Supplies & Services,2011-08-11,3026458,565,Originzone Limited,14858
Other Car Parks,CP99,Materials & consumables,Supplies & Services,2011-08-11,3026482,3090,Scorpion Signs,14465
SOHA contributions - DFGs,X178,Third Party Payments,Appropriations and other non Cipfa Sub Group Accounts,2011-08-11,3026506,-600,SOHA Housing Ltd,10651
Mandatory disabled facilities grants,X108,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,2011-08-11,3026506,600,SOHA Housing Ltd,10651
Mandatory disabled facilities grants,X108,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,2011-08-11,3026508,875,SOHA Housing Ltd,10651
Mandatory disabled facilities grants,X108,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,2011-08-11,3026507,1450,SOHA Housing Ltd,10651
Mandatory disabled facilities grants,X108,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,2011-08-11,3026506,7300,SOHA Housing Ltd,10651
Rent Deposit Scheme,HM02,Loans To Clients,Supplies & Services,2011-08-11,3026489,775,Sundry Supplier,99999
Customer Contact (Was Contact Centre),CZ01,Professional,Supplies & Services,2011-09-11,611601,5989.7,Capita Business Services,10129
Accounts Receivable,ES03,Capita Contract,Third Party Payments,2011-09-11,611604,607.6,Capita Business Services,10129
Accounts Payable,ES02,Capita Contract,Third Party Payments,2011-09-11,611602,2098.57,Capita Business Services,10129
Cash Office,ES01,Capita Contract,Third Party Payments,2011-09-11,611602,2159.11,Capita Business Services,10129
Accounts Receivable,ES03,Capita Contract,Third Party Payments,2011-09-11,611602,2505.58,Capita Business Services,10129
Concessionary Fares Agency,RB06,Capita Contract,Third Party Payments,2011-09-11,611603,2567,Capita Business Services,10129
Payroll,PY01,Capita Contract,Third Party Payments,2011-09-11,611602,2977.26,Capita Business Services,10129
General Ledger,AC02,Capita Contract,Third Party Payments,2011-09-11,611602,3939.3,Capita Business Services,10129
Benefits Admin,RB05,Capita Contract,Third Party Payments,2011-09-11,611600,4392.92,Capita Business Services,10129
NNDR Admin,RB02,Capita Contract,Third Party Payments,2011-09-11,611602,7610.12,Capita Business Services,10129
Council Tax Admin,RB03,Capita Contract,Third Party Payments,2011-09-11,611602,45327.32,Capita Business Services,10129
Benefits Admin,RB05,Capita Contract,Third Party Payments,2011-09-11,611602,70931.46,Capita Business Services,10129
Hackney Carriage Licences,HL01,Agency staff,Employees,2011-09-11,3026474,1483.2,Champion Recruitment,10148
Development Management,DN01,Agency staff,Employees,2011-09-11,3026289,1517.04,Champion Recruitment,10148
Policy Team,PP01,Agency staff,Employees,2011-09-11,3026475,1713.16,Champion Recruitment,10148
Delegated Powers 11-12,A221,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,2011-09-11,3026511,2078,Community Tennis Association CIC,14780
PC & Intelligent Terminals,CE10,Software support and maintenance,Supplies & Services,2011-09-11,611672,4635.4,Ebase Technology Ltd,10833
Hackney Carriage Licences,HL01,Licence Fees,Income,2011-09-11,3026446,1440,"Fairweather, Whillis and Toghill Solicitors",14929
Dual Use OCC,X800,GLL,Appropriations and other non Cipfa Sub Group Accounts,2011-09-11,611665,8333,Greenwich Leisure Limited,13867
Hackney Carriage Licences,HL01,Purchase of equipment,Supplies & Services,2011-09-11,611581,1595,LESAR UK LTD,10420
Other Car Parks,CP99,Engineering Support -Monson,Third Party Payments,2011-09-11,611399,575,Monson Engineering Ltd,10466
Refurbishment at Thame & Park,A187,Main Capital Contract,Appropriations and other non Cipfa Sub Group Accounts,2011-09-11,611647,9478.71,Revolution Design Consultants Ltd,14113
Internet/Intranet,CE62,Software support and maintenance,Supplies & Services,2011-09-11,611681,808.26,Verizon UK Ltd,10780
Licences - Administration,LN01,Agency staff,Employees,2011-10-11,3026513,-1483.82,Champion Recruitment,10148
Accountancy,AC01,Agency staff,Employees,2011-10-11,3026478,701.53,Champion Recruitment,10148
Licences - Administration,LN01,Agency staff,Employees,2011-10-11,3026460,1038.69,Champion Recruitment,10148
Development Management,DN01,Agency staff,Employees,2011-10-11,3026477,1189.09,Champion Recruitment,10148
Licences - Administration,LN01,Agency staff,Employees,2011-10-11,3026468,1483.82,Champion Recruitment,10148
Policy Team,PP01,Consultants-Projects,Supplies & Services,2011-11-11,611718,752.68,Kirkham Landscape Planning,14917
PC & Intelligent Terminals,CE10,Software support and maintenance,Supplies & Services,2011-11-11,611688,2619,Quest Software (UK) Ltd,14933
Thame Leisure Centre,A222,Main Capital Contract,Appropriations and other non Cipfa Sub Group Accounts,2011-11-11,611701,4945.2,S J TRELOAR AND ASSOCIATES,10614
Didcot Arts Centre,AR04,Performers Fees and Charges,Supplies & Services,2011-11-11,611708,1000,Seabright Productions Limited,13777
Pest Control Service,PC01,Pest control services,Supplies & Services,2011-11-11,611685,1551,Total Pest Control UK Ltd,13703
Didcot Arts Centre,AR04,Performers Fees and Charges,Supplies & Services,2011-11-11,611709,2700,Upbeat Management,14058
Didcot Growth Point Team,CA02,Payments to VOWH - Salary costs,Third Party Payments,2011-11-11,611689,2613,Vale of White Horse District Council,10774
Management Development,TR13,Staff training,Employees,2011-12-11,611730,6400,Alexander,11801
EH - Env Protection,EH06,Dog warden services,Supplies & Services,2011-12-11,611729,766,Barnewood Boarding Kennels,14674
Parks and Open Spaces,OP01,Repairs & Maintenance of Grounds,Premises,2011-12-11,611723,2805.8,Berinsfield Community Business,10087
Development Management,DN01,Consultation costs,Supplies & Services,2011-12-11,611721,700,Carroll and Partners Surveyors Ltd,14082
EH - Env Protection,EH06,Consultants-Projects,Supplies & Services,2011-12-11,611728,10792,Ecus Ltd,10220
Car Parks Holding Account,X805,Henley / OCC Car parks Cash Holding Account,Appropriations and other non Cipfa Sub Group Accounts,2011-12-11,3026518,13402.05,Henley On Thames Town Council,10316
Home Improvement Agency (was Staying Put),SP01,Professional,Supplies & Services,2011-12-11,611727,6972.25,Mears Home Improvement Limited,14703
Didcot Arts Centre,AR04,Performers Fees and Charges,Supplies & Services,2011-12-11,611731,700,Scamp Theatre Limited,13959
CCTV,TV01,Communications - Equipment Purchase,Supplies & Services,15/11/2011,3026495,26064,BT REDCARE,10114
External Audit,AU02,Audit Fees,Supplies & Services,15/11/2011,611724,16484.5,The Audit Commission,10716
"All Saints PCC, Didcot",A201,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,16/11/2011,3026538,33699,Didcot All Saintså« Parocial Churhc Council,14944
Facilities Management,FM01,Repairs and maintenance to land and buildings,Premises,16/11/2011,611758,800,DIDCOT PLANT,11584
Other Car Parks,CP99,Third Party Payments - Security,Third Party Payments,16/11/2011,611265,1732.17,Jade Security Services Ltd,10388
Other Car Parks,CP99,Third Party Payments - Security,Third Party Payments,16/11/2011,611706,1802.76,Jade Security Services Ltd,10388
Policy & Community Engagement,CB01,Cosultation Corparate Strategy,Supplies & Services,16/11/2011,611754,1025,Lang Research Associates,14932
Development Management,DN01,Consultation costs,Supplies & Services,16/11/2011,611746,3774.65,Machin Bate Ltd,10445
Land Drainage,LD01,Engineering Support -Monson,Third Party Payments,16/11/2011,611753,679.12,Monson Engineering Ltd,10466
Parks and Open Spaces,OP01,Engineering Support -Monson,Third Party Payments,16/11/2011,611753,679.12,Monson Engineering Ltd,10466
Housing Act Works (was HAW Nuffield),HA01,Engineering Support -Monson,Third Party Payments,16/11/2011,611753,867.76,Monson Engineering Ltd,10466
Central Planning,PA01,Engineering Support -Monson,Third Party Payments,16/11/2011,611753,2873.96,Monson Engineering Ltd,10466
Land Charges,LC01,Payments to other local authorities,Third Party Payments,16/11/2011,611743,975,Ocella,10502
Didcot Arts Centre,AR04,Performers Fees and Charges,Supplies & Services,16/11/2011,611757,2330.15,Off The Kerb Productions,13249
Communications & Publicity,TM01,Consultation costs,Supplies & Services,16/11/2011,611651,16875,Public i,10568
